mint_name,mint_country,mint_wiki_url,mint_desc
Singapore Mint,Singapore,http://en.wikipedia.org/wiki/Singapore_Mint,
New Zealand Mint,New Zealand,http://en.wikipedia.org/wiki/New_Zealand_Mint,
